"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","ASV"
"ASV265",48.7896903011872,-6.85736622529152,1.69807949640911,0.00058890900077211,"Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307","ASV265"
"ASV286",21.0626483214242,-8.00269875526497,2.07180363536248,0.00117266229692355,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_uncl","ASV286"
"ASV301",27.1164669770583,-8.36692984393803,1.85988571323188,7.97183951585017e-05,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter","ASV301"
"ASV302",12.8166927972465,-23.5272907548128,2.94602285627774,4.3343307975305e-14,"Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12","ASV302"
"ASV304",41.7657796664347,-25.1452102584309,2.63005976085229,1.16105309214168e-19,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","ASV304"
"ASV306",38.3980658698166,-8.86955280428743,2.119083279358,0.000326214116462317,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Aquiluna","ASV306"
"ASV325",16.4126121076767,-23.8740763819089,2.94576736539445,2.21444631500926e-14,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","ASV325"
"ASV365",11.6792813499121,-7.15221454729484,2.51697583813258,0.0358608539711204,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_uncl","ASV365"
"ASV367",13.0317627578248,-23.5559568128887,2.94600306911509,4.3343307975305e-14,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter","ASV367"
"ASV374",41.1075297525981,-4.27229873015256,1.74579648853148,0.0930597053068417,"Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_uncl","ASV374"
"ASV379",14.8520113531052,-23.738567280386,2.94586302801182,3.05651457798375e-14,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus Megaira","ASV379"
"ASV380",14.8104067129263,-7.49473342095306,2.47266158937566,0.0211317750310577,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter","ASV380"
"ASV389",17.8796793608621,-7.76731585233629,2.48091109365217,0.0158891949982705,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","ASV389"
"ASV398",21.3909155530006,-24.2345017858487,2.94555550132634,9.06247796180455e-15,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacteraceae_uncl","ASV398"
"ASV409",18.4254078759486,-24.0316302518583,2.94566782448852,1.50991420881097e-14,"Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1 aquatic group","MWH-UniP1 aquatic group_uncl","ASV409"
"ASV410",33.0417256390414,-24.7793550856193,2.5949007207915,1.16105309214168e-19,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","ASV410"
"ASV420",13.1682508779652,-23.566950836035,2.94599173863468,4.3343307975305e-14,"Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","ASV420"
"ASV427",26.4865055726504,-8.33378057794646,2.20033964680182,0.00156803639573387,"Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_uncl","ASV427"
"ASV428",10.1654575512759,-23.2079795250968,2.94632609241466,9.54291136246236e-14,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","ASV428"
"ASV432",25.5554620147032,-8.28264248159607,2.02188033760967,0.000465965869340755,"Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","ASV432"
"ASV461",30.8162487005285,-24.6842437301508,2.56688575718543,8.07746688281987e-20,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_uncl","ASV461"
"ASV471",3.75465187032353,-21.8771098088373,2.94882289979558,1.95228285467017e-12,"Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group","NS11-12 marine group_uncl","ASV471"
"ASV476",8.44012779708764,-22.9682853033813,2.94662654490011,1.58195836399219e-13,"Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Candidatus Aquiluna","ASV476"
"ASV489",9.06015373143197,-23.066429702056,2.94650630278882,1.30117753127707e-13,"Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","ASV489"
"ASV495",13.1664390721351,-7.32503116887152,2.30034592211475,0.0135741035520735,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_uncl","ASV495"
"ASV509",6.29373370251716,-4.06824767594397,1.58901901491955,0.0708319437429947,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Alsobacter","ASV509"
"ASV510",7.88522188666257,-22.8465053328629,2.94674962791035,1.94444322098335e-13,"Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_uncl","ASV510"
"ASV529",13.8161416016054,-7.39472689556176,2.50616982692266,0.0265285193334957,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Haliscomenobacter","ASV529"
"ASV530",16.5765768975864,-7.65785922557694,2.29107920205952,0.00797827404879113,"Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17","env.OPS 17_uncl","ASV530"
"ASV543",20.4205018384183,-7.95858524102734,2.05145929911375,0.00111810444490355,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacteraceae_uncl","ASV543"
