OUT;Res.3Jan.;Res.3Feb.;Res.3Mar.;Res.3Apr.;Res.3May.;Res.3Jun.;Res.3Jul.;Res.3Aug.;Res.3Sep.;Res.3Oct.;Res.3Nov.;Res.3Dec.;Res.4Jan.;Res.4Feb.;Res.4Mar.;Res.4Apr.;Res.4May.;Res.4Jun.;Res.4Jul.;Res.4Aug.;Res.4Oct.;Res.4Nov.;Res.4Dec.;Res.5Feb.;Res.5Mar.;Res.5Apr.;Res.5May.;Res.5Jun.;Res.5Jul.;Res.5Aug.;Res.5Oct.;Res.5Nov.;Res.5Dec.;D1.3Jan.;D1.3Feb.;D1.3May.;D1.3Jun.;D1.3Jul.;D1.3Oct.;D1.4Mar.;D1.4Apr.;D1.4May.;D1.4Jun.;D1.4Jul.;D1.4Aug.;D1.4Oct.;D1.4Dec.;D1.5Mar.;D1.5Apr.;D1.5May.;D1.5Jun.;D1.5Aug.;V2.3Jan.;V2.3Feb.;V2.3Mar.;V2.3Apr.;V2.3May.;V2.3Jun.;V2.3Jul.;V2.3Aug.;V2.3Sep.;V2.4Mar.;V2.4May.;V2.4Jun.;V2.4Dec.;V2.4Nov.;V2.5Feb.;V2.5Mar.;V2.5Apr.;V2.5May.;V2.5Jun.;V2.5Aug.;V2.5Dec.
denovo52050;4;2;6;3;3;1;2;0;1;0;5;12;1;1;3;1;8;13;2;4;4;5;4;19;12;16;17;19;10;6;4;1;2;0;2;0;1;10;0;0;2;0;6;5;5;6;5;1;0;24;16;1;1;0;2;8;0;0;0;0;5;0;0;1;0;0;1;13;0;6;0;0;7
denovo52045;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;3;0;3;0
denovo52015;6;3;10;13;0;0;0;0;0;0;0;0;1;7;13;1;0;0;1;0;0;0;0;6;18;21;6;0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;1;37;15;0;0;5;1;1;5;0;0;0;0;0;14;0;0;0;1;1;1;3;23;0;0;0
denovo51971;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo51952;0;2;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo51908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3
denovo5182;0;0;1;0;1;0;0;0;0;0;0;0;3;1;2;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo51782;0;0;0;0;3;5;0;1;3;0;2;0;0;0;0;1;4;12;1;1;1;6;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;4;1;0;0;1;3;1;7;3;0;0;0;10;1;10;0;0;0;0;1;8;6;4;1;0;4;1;0;0;0;0;1;8;0;14;28
denovo51716;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo51673;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;0;0;9;0;11;27;1;1;1;1;1;1;0;1;0;4;0;0;0;0;1;0;0;0;0;0;1;10;14;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;31;0;1;0;0;0
denovo51607;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;1;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
